attemptdate,attemptresult,userid,type,maxsessionuid
3/1/2020 5:40,TIMEOUT,HBA1700,LIMITED,874402
3/1/2020 5:41,LOGOUT,HBA1676,AUTHORIZED,874502
3/1/2020 5:50,LOGIN,HBA1676,AUTHORIZED,874503
3/1/2020 5:50,LOGOUT,HBA1676,AUTHORIZED,874503
3/1/2020 5:58,LOGIN,HBA2023,AUTHORIZED,874003
3/1/2020 6:01,SYSLOGOUT,HBA1726,LIMITED,873902
3/1/2020 6:03,TIMEOUT,HBA2135,LIMITED,874103
3/1/2020 6:04,LOGIN,HBA1676,AUTHORIZED,873906
3/1/2020 6:04,LOGOUT,HBA1676,AUTHORIZED,873906
3/1/2020 6:06,LOGIN,HBA1676,AUTHORIZED,874602
3/1/2020 6:06,LOGOUT,HBA1676,AUTHORIZED,874602
3/1/2020 6:07,LOGIN,HBA1676,AUTHORIZED,874603
3/1/2020 6:07,LOGOUT,HBA1676,AUTHORIZED,874603
3/1/2020 6:07,LOGIN,HBA1676,AUTHORIZED,874504
3/1/2020 6:07,LOGOUT,HBA1676,AUTHORIZED,874504
3/1/2020 6:07,LOGIN,HBA1676,AUTHORIZED,873907
3/1/2020 6:07,LOGOUT,HBA1676,AUTHORIZED,873907
3/1/2020 6:08,LOGIN,HBA1676,AUTHORIZED,874702
3/1/2020 6:08,LOGOUT,HBA1676,AUTHORIZED,874702
3/1/2020 6:08,LOGIN,HBA1676,AUTHORIZED,874104
3/1/2020 6:08,LOGOUT,HBA1676,AUTHORIZED,874104
3/1/2020 6:08,LOGIN,HBA1676,AUTHORIZED,874403
3/1/2020 6:08,LOGOUT,HBA1676,AUTHORIZED,874403
3/1/2020 6:09,LOGIN,HBA1676,AUTHORIZED,874802
3/1/2020 6:09,LOGOUT,HBA1676,AUTHORIZED,874802
3/1/2020 6:09,LOGIN,HBA1676,AUTHORIZED,874902
3/1/2020 6:09,LOGOUT,HBA1676,AUTHORIZED,874902
3/1/2020 6:10,LOGIN,HBA1676,AUTHORIZED,874203
3/1/2020 6:10,LOGOUT,HBA1676,AUTHORIZED,874203
3/1/2020 6:10,TIMEOUT,HBA2023,AUTHORIZED,874003
3/1/2020 6:10,LOGIN,HBA1676,AUTHORIZED,874004
3/1/2020 6:10,LOGOUT,HBA1676,AUTHORIZED,874004
3/1/2020 6:10,LOGIN,HBA1676,AUTHORIZED,874303
3/1/2020 6:11,LOGOUT,HBA1676,AUTHORIZED,874303
3/1/2020 6:11,LOGIN,HBA2023,AUTHORIZED,874005
3/1/2020 6:11,LOGOUT,HBA2023,AUTHORIZED,874005
3/1/2020 6:11,LOGIN,HBA1676,AUTHORIZED,874803
3/1/2020 6:11,LOGOUT,HBA1676,AUTHORIZED,874803
3/1/2020 6:12,LOGIN,HBA2023,AUTHORIZED,874006
3/1/2020 6:25,LOGIN,HBA1654,LIMITED,874304
3/1/2020 6:27,LOGIN,HBA1654,LIMITED,873908
3/1/2020 6:28,LOGIN,HBA1654,LIMITED,874105
3/1/2020 6:30,LOGIN,HBA1654,LIMITED,874204
3/1/2020 6:32,LOGIN,HBA1722,LIMITED,874804
3/1/2020 6:40,TIMEOUT,HBA1722,LIMITED,874804
3/1/2020 6:40,LOGIN,HBA1916,EXPRESS,874805
3/1/2020 6:40,LOGOUT,HBA1916,EXPRESS,874805
3/1/2020 6:40,LOGIN,HBA1916,EXPRESS,874806
3/1/2020 6:49,TIMEOUT,HBA1654,LIMITED,874105
3/1/2020 6:49,LOGIN,HBA1722,LIMITED,874106
3/1/2020 6:51,TIMEOUT,HBA2023,AUTHORIZED,874006
3/1/2020 6:51,LOGIN,HBA1873,LIMITED,874007
3/1/2020 6:54,TIMEOUT,HBA1654,LIMITED,874204
3/1/2020 6:54,LOGIN,HBA1654,LIMITED,874205
3/1/2020 6:54,LOGOUT,HBA1654,LIMITED,874205
3/1/2020 6:54,LOGIN,HBA1654,LIMITED,874206
3/1/2020 6:58,TIMEOUT,HBA1654,LIMITED,874304
3/1/2020 7:00,RESTART,HBA1654,LIMITED,873908
3/1/2020 7:01,SYSLOGOUT,HBA2225,EXPRESS,874102
3/1/2020 7:01,SYSLOGOUT,HBA1824,AUTHORIZED,874002
3/1/2020 7:06,TIMEOUT,HBA1722,LIMITED,874106
3/1/2020 7:06,TIMEOUT,HBA1873,LIMITED,874007
3/1/2020 7:06,TIMEOUT,HBA1916,EXPRESS,874806
3/1/2020 7:06,TIMEOUT,HBA1654,LIMITED,874206
3/1/2020 7:22,LOGIN,HBA1676,AUTHORIZED,875002
3/1/2020 7:22,LOGIN,HBA1676,AUTHORIZED,875003
3/1/2020 7:25,LOGIN,HBA1676,AUTHORIZED,875102
3/1/2020 7:31,LOGIN,HBA1627,AUTHORIZED,875202
3/1/2020 7:32,LOGOUT,HBA1627,AUTHORIZED,875202
3/1/2020 7:32,LOGIN,HBA2261,AUTHORIZED,875302
3/1/2020 7:36,LOGIN,HBA2212,LIMITED,875402
3/1/2020 7:42,LOGOUT,HBA1676,AUTHORIZED,875102
3/1/2020 7:43,LOGIN,HBA1676,AUTHORIZED,875403
3/1/2020 7:43,TIMEOUT,HBA2212,LIMITED,875402
3/1/2020 7:43,LOGOUT,HBA1676,AUTHORIZED,875403
3/1/2020 7:43,LOGIN,HBA1676,AUTHORIZED,875502
3/1/2020 7:43,LOGOUT,HBA1676,AUTHORIZED,875502
3/1/2020 7:43,LOGIN,HBA1676,AUTHORIZED,875602
3/1/2020 7:48,LOGOUT,HBA1676,AUTHORIZED,875602
3/1/2020 7:48,LOGIN,HBA1676,AUTHORIZED,875004
3/1/2020 7:48,LOGOUT,HBA1676,AUTHORIZED,875004
3/1/2020 7:49,LOGIN,HBA1676,AUTHORIZED,875303
3/1/2020 7:49,LOGOUT,HBA1676,AUTHORIZED,875303
3/1/2020 7:51,LOGOUT,HBA1676,AUTHORIZED,875003
3/1/2020 7:51,LOGIN,HBA1676,AUTHORIZED,875203
3/1/2020 7:51,LOGOUT,HBA1676,AUTHORIZED,875203
3/1/2020 7:51,LOGIN,HBA1676,AUTHORIZED,875404
3/1/2020 7:51,LOGOUT,HBA1676,AUTHORIZED,875404
3/1/2020 7:51,LOGIN,HBA1676,AUTHORIZED,875103
3/1/2020 7:52,LOGOUT,HBA1676,AUTHORIZED,875103
3/1/2020 7:52,LOGIN,HBA1676,AUTHORIZED,875702
3/1/2020 7:52,LOGOUT,HBA1676,AUTHORIZED,875702
3/1/2020 7:52,LOGIN,HBA1676,AUTHORIZED,875802
3/1/2020 7:52,LOGOUT,HBA1676,AUTHORIZED,875802
3/1/2020 7:53,LOGIN,HBA1676,AUTHORIZED,875902
3/1/2020 7:53,LOGOUT,HBA1676,AUTHORIZED,875902
3/1/2020 7:53,LOGIN,HBA1676,AUTHORIZED,876002
3/1/2020 7:53,LOGOUT,HBA1676,AUTHORIZED,876002
3/1/2020 7:54,LOGIN,HBA1764,LIMITED,876003
3/1/2020 7:54,LOGIN,HBA1676,AUTHORIZED,876102
3/1/2020 7:54,LOGOUT,HBA1676,AUTHORIZED,876102
3/1/2020 7:54,TIMEOUT,HBA1676,AUTHORIZED,875002
3/1/2020 7:54,LOGIN,HBA1676,AUTHORIZED,875104
3/1/2020 7:54,LOGIN,HBA1627,AUTHORIZED,875903
3/1/2020 7:54,LOGOUT,HBA1676,AUTHORIZED,875104
3/1/2020 7:54,LOGOUT,HBA1627,AUTHORIZED,875903
3/1/2020 8:06,LOGIN,HBA1676,AUTHORIZED,875005
3/1/2020 8:06,LOGOUT,HBA2261,AUTHORIZED,875302
3/1/2020 8:09,LOGIN,HBA2153,LIMITED,875304
3/1/2020 8:24,TIMEOUT,HBA1764,LIMITED,876003
3/1/2020 8:24,LOGIN,HBA2261,AUTHORIZED,875305
3/1/2020 8:27,LOGIN,HBA1938,LIMITED,875405
3/1/2020 8:30,LOGOUT,HBA1938,LIMITED,875405
3/1/2020 8:35,LOGIN,HBA1758,AUTHORIZED,875904
3/1/2020 8:35,LOGIN,HBA1758,AUTHORIZED,875905
3/1/2020 8:39,TIMEOUT,HBA2153,LIMITED,875304
3/1/2020 8:41,LOGIN,HBA1932,AUTHORIZED,876004
3/1/2020 8:43,LOGIN,HBA2210,AUTHORIZED,875105
3/1/2020 8:50,LOGIN,HBA1719,LIMITED,876103
3/1/2020 8:55,TIMEOUT,HBA1676,AUTHORIZED,875005
3/1/2020 9:00,TIMEOUT,HBA2261,AUTHORIZED,875305
3/1/2020 9:03,LOGIN,HBA2023,AUTHORIZED,875306
3/1/2020 9:06,TIMEOUT,HBA1758,AUTHORIZED,875904
3/1/2020 9:12,TIMEOUT,HBA1932,AUTHORIZED,876004
3/1/2020 9:13,TIMEOUT,HBA2210,AUTHORIZED,875105
3/1/2020 9:23,SYSLOGOUT,HBA1676,AUTHORIZED,875002
3/1/2020 9:34,TIMEOUT,HBA1758,AUTHORIZED,875905
3/1/2020 9:34,LOGIN,HBA1758,AUTHORIZED,875906
3/1/2020 9:48,TIMEOUT,HBA1719,LIMITED,876103
3/1/2020 9:51,TIMEOUT,HBA2023,AUTHORIZED,875306
3/1/2020 9:56,LOGIN,HBA2023,AUTHORIZED,875307
3/1/2020 10:00,SYSLOGOUT,HBA1676,AUTHORIZED,875303
3/1/2020 10:00,SYSLOGOUT,HBA1676,AUTHORIZED,875104
3/1/2020 10:00,SYSLOGOUT,HBA1676,AUTHORIZED,876102
3/1/2020 10:01,SYSLOGOUT,HBA1627,AUTHORIZED,875903
3/1/2020 10:01,SYSLOGOUT,HBA1676,AUTHORIZED,875404
3/1/2020 10:01,SYSLOGOUT,HBA1676,AUTHORIZED,875003
3/1/2020 10:04,TIMEOUT,HBA1758,AUTHORIZED,875906
3/1/2020 10:04,LOGIN,HBA1919,AUTHORIZED,875308
3/1/2020 10:06,LOGIN,HBA2023,AUTHORIZED,875006
3/1/2020 10:07,LOGIN,HBA1758,AUTHORIZED,875907
3/1/2020 10:14,LOGIN,HBA1685,LIMITED,875007
3/1/2020 10:15,LOGIN,HBA1932,AUTHORIZED,876005
3/1/2020 10:16,LOGIN,HBA2083,EXPRESS,875204
3/1/2020 10:29,LOGIN,HBA1845,LIMITED,875205
3/1/2020 10:30,TIMEOUT,HBA2083,EXPRESS,875204
3/1/2020 10:30,LOGIN,HBA1938,LIMITED,876006
3/1/2020 10:33,LOGOUT,HBA1938,LIMITED,876006
3/1/2020 10:36,SYSLOGOUT,HBA1758,AUTHORIZED,875904
3/1/2020 10:36,TIMEOUT,HBA2023,AUTHORIZED,875006
3/1/2020 10:37,LOGIN,HBA2023,AUTHORIZED,875008
3/1/2020 10:43,LOGIN,HBA2292,AUTHORIZED,876104
3/1/2020 10:46,TIMEOUT,HBA1685,LIMITED,875007
3/1/2020 10:56,LOGIN,HBA1896,AUTHORIZED,875009
3/1/2020 10:58,LOGOUT,HBA1896,AUTHORIZED,875009
3/1/2020 11:01,LOGIN,HBA2210,AUTHORIZED,875106
3/1/2020 11:01,TIMEOUT,HBA1845,LIMITED,875205
3/1/2020 11:07,TIMEOUT,HBA2023,AUTHORIZED,875008
3/1/2020 11:15,TIMEOUT,HBA1932,AUTHORIZED,876005
3/1/2020 11:27,LOGIN,HBA2023,AUTHORIZED,875206
3/1/2020 11:28,TIMEOUT,HBA2292,AUTHORIZED,876104
3/1/2020 11:41,TIMEOUT,HBA2023,AUTHORIZED,875307
3/1/2020 11:43,LOGIN,HBA1896,AUTHORIZED,875010
3/1/2020 11:54,LOGIN,HBA2201,LIMITED,876007
3/1/2020 11:58,TIMEOUT,HBA2023,AUTHORIZED,875206
3/1/2020 11:59,LOGOUT,HBA1896,AUTHORIZED,875010
3/1/2020 12:00,LOGIN,HBA2023,AUTHORIZED,875207
3/1/2020 12:00,SYSLOGOUT,HBA1719,LIMITED,876103
3/1/2020 12:01,SYSLOGOUT,HBA1676,AUTHORIZED,875203
3/1/2020 12:08,TIMEOUT,HBA1758,AUTHORIZED,875907
3/1/2020 12:14,LOGIN,HBA1649,AUTHORIZED,876105
3/1/2020 12:15,SYSLOGOUT,HBA1685,LIMITED,875007
3/1/2020 12:15,LOGOUT,HBA1649,AUTHORIZED,876105
3/1/2020 12:18,SYSLOGOUT,HBA1932,AUTHORIZED,876004
3/1/2020 12:30,TIMEOUT,HBA2023,AUTHORIZED,875207
3/1/2020 12:31,TIMEOUT,HBA1919,AUTHORIZED,875308
3/1/2020 12:37,TIMEOUT,HBA2201,LIMITED,876007
3/1/2020 12:38,LOGIN,HBA1825,AUTHORIZED,875011
3/1/2020 12:44,TIMEOUT,HBA2210,AUTHORIZED,875106
3/1/2020 12:54,LOGIN,HBA1664,LIMITED,875208
3/1/2020 13:00,SYSLOGOUT,HBA2210,AUTHORIZED,875105
3/1/2020 13:01,LOGIN,HBA2023,AUTHORIZED,875209
3/1/2020 13:01,SYSLOGOUT,HBA1896,AUTHORIZED,875009
3/1/2020 13:05,LOGOUT,HBA1664,LIMITED,875208
3/1/2020 13:11,LOGIN,HBA1760,AUTHORIZED,875107
3/1/2020 13:13,LOGOUT,HBA1760,AUTHORIZED,875107
3/1/2020 13:13,TIMEOUT,HBA1825,AUTHORIZED,875011
3/1/2020 13:22,LOGIN,HBA1722,LIMITED,875406
3/1/2020 13:27,LOGIN,HBA1825,AUTHORIZED,875012
3/1/2020 13:31,TIMEOUT,HBA2023,AUTHORIZED,875209
3/1/2020 13:42,TIMEOUT,HBA1722,LIMITED,875406
3/1/2020 13:42,LOGIN,HBA2101,LIMITED,875407
3/1/2020 13:44,LOGIN,HBA2135,LIMITED,875210
3/1/2020 13:47,LOGOUT,HBA1825,AUTHORIZED,875012
3/1/2020 13:51,LOGOUT,HBA2135,LIMITED,875210
3/1/2020 13:51,LOGIN,HBA2135,LIMITED,875211
3/1/2020 13:51,LOGOUT,HBA2135,LIMITED,875211
3/1/2020 13:51,LOGIN,HBA2135,LIMITED,875212
3/1/2020 14:00,SYSLOGOUT,HBA1896,AUTHORIZED,875010
3/1/2020 14:00,SYSLOGOUT,HBA2292,AUTHORIZED,876104
3/1/2020 14:13,LOGIN,HBA2023,AUTHORIZED,875213
3/1/2020 14:16,LOGOUT,HBA2101,LIMITED,875407
3/1/2020 14:19,LOGIN,HBA1758,AUTHORIZED,875013
3/1/2020 14:20,TIMEOUT,HBA2135,LIMITED,875212
3/1/2020 14:20,LOGIN,HBA1850,LIMITED,875214
3/1/2020 14:21,LOGIN,HBA2023,AUTHORIZED,875908
3/1/2020 14:24,LOGIN,HBA2101,LIMITED,875408
3/1/2020 14:26,LOGOUT,HBA2101,LIMITED,875408
3/1/2020 14:43,TIMEOUT,HBA2023,AUTHORIZED,875213
3/1/2020 14:46,LOGIN,HBA1932,AUTHORIZED,876008
3/1/2020 14:48,LOGIN,HBA2210,AUTHORIZED,875108
3/1/2020 14:48,LOGIN,HBA2210,AUTHORIZED,875109
3/1/2020 14:48,LOGIN,HBA2210,AUTHORIZED,875110
3/1/2020 14:48,LOGIN,HBA2210,AUTHORIZED,875111
3/1/2020 14:54,TIMEOUT,HBA1850,LIMITED,875214
3/1/2020 15:01,SYSLOGOUT,HBA1938,LIMITED,875405
3/1/2020 15:04,LOGIN,HBA2313,LIMITED,876106
3/1/2020 15:04,LOGIN,HBA1807,AUTHORIZED,876107
3/1/2020 15:12,LOGIN,HBA1730,LIMITED,875014
3/1/2020 15:19,TIMEOUT,HBA2210,AUTHORIZED,875108
3/1/2020 15:19,TIMEOUT,HBA2210,AUTHORIZED,875110
3/1/2020 15:19,TIMEOUT,HBA2210,AUTHORIZED,875109
3/1/2020 15:22,TIMEOUT,HBA2023,AUTHORIZED,875908
3/1/2020 15:22,LOGIN,HBA1938,LIMITED,875409
3/1/2020 15:23,LOGIN,HBA2266,LIMITED,875909
3/1/2020 15:28,LOGOUT,HBA1730,LIMITED,875014
3/1/2020 15:30,LOGOUT,HBA1807,AUTHORIZED,876107
3/1/2020 15:30,TIMEOUT,HBA1932,AUTHORIZED,876008
3/1/2020 15:32,TIMEOUT,HBA1758,AUTHORIZED,875013
3/1/2020 15:32,LOGIN,HBA1758,AUTHORIZED,875015
3/1/2020 15:32,LOGOUT,HBA1938,LIMITED,875409
3/1/2020 15:37,LOGOUT,HBA2266,LIMITED,875909
3/1/2020 15:39,LOGIN,HBA1919,AUTHORIZED,875309
3/1/2020 15:39,LOGOUT,HBA1919,AUTHORIZED,875309
3/1/2020 15:39,LOGIN,HBA1919,AUTHORIZED,875310
3/1/2020 15:40,LOGOUT,HBA1919,AUTHORIZED,875310
3/1/2020 15:42,LOGIN,HBA2135,LIMITED,875112
3/1/2020 15:46,LOGOUT,HBA2313,LIMITED,876106
3/1/2020 15:48,LOGIN,HBA1771,LIMITED,875016
3/1/2020 15:57,TIMEOUT,HBA1771,LIMITED,875016
3/1/2020 16:00,LOGIN,HBA2023,AUTHORIZED,875910
3/1/2020 16:00,SYSLOGOUT,HBA1825,AUTHORIZED,875012
3/1/2020 16:00,SYSLOGOUT,HBA1760,AUTHORIZED,875107
3/1/2020 16:01,SYSLOGOUT,HBA2201,LIMITED,876007
3/1/2020 16:01,SYSLOGOUT,HBA1758,AUTHORIZED,875907
3/1/2020 16:03,LOGIN,HBA1885,LIMITED,875410
3/1/2020 16:04,TIMEOUT,HBA2210,AUTHORIZED,875111
3/1/2020 16:04,LOGOUT,HBA1885,LIMITED,875410
3/1/2020 16:04,LOGIN,HBA1818,LIMITED,876009
3/1/2020 16:10,TIMEOUT,HBA2135,LIMITED,875112
3/1/2020 16:10,LOGIN,HBA1764,LIMITED,875113
3/1/2020 16:11,LOGIN,HBA1899,LIMITED,875411
3/1/2020 16:13,LOGOUT,HBA1899,LIMITED,875411
3/1/2020 16:21,LOGIN,HBA2210,AUTHORIZED,875114
3/1/2020 16:23,LOGIN,HBA2023,AUTHORIZED,875215
3/1/2020 16:23,LOGIN,HBA2023,AUTHORIZED,875216
3/1/2020 16:27,TIMEOUT,HBA1758,AUTHORIZED,875015
3/1/2020 16:27,LOGIN,HBA1853,LIMITED,875217
3/1/2020 16:32,TIMEOUT,HBA2023,AUTHORIZED,875910
3/1/2020 16:48,SYSLOGOUT,HBA2210,AUTHORIZED,875109
3/1/2020 16:48,SYSLOGOUT,HBA2210,AUTHORIZED,875108
3/1/2020 16:48,SYSLOGOUT,HBA2210,AUTHORIZED,875110
3/1/2020 16:53,TIMEOUT,HBA2023,AUTHORIZED,875216
3/1/2020 16:53,TIMEOUT,HBA2023,AUTHORIZED,875215
3/1/2020 16:55,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:55,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:55,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:55,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:56,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:56,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:56,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:56,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:57,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:57,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:57,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:57,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:57,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:58,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:58,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:58,LOGOUT,HBA1764,LIMITED,0
3/1/2020 16:58,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:00,SYSLOGOUT,HBA2101,LIMITED,875408
3/1/2020 17:00,SYSLOGOUT,HBA1919,AUTHORIZED,875308
3/1/2020 17:00,SYSLOGOUT,HBA1649,AUTHORIZED,876105
3/1/2020 17:01,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:01,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:01,TIMEOUT,HBA1853,LIMITED,875217
3/1/2020 17:02,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:02,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:02,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:03,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:03,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:03,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:03,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:04,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:04,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:04,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:04,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:04,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:05,LOGIN,HBA2023,AUTHORIZED,875218
3/1/2020 17:05,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:05,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:05,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:06,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:06,TIMEOUT,HBA2210,AUTHORIZED,875114
3/1/2020 17:06,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:06,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:06,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:06,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:07,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:07,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:07,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:07,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:08,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:08,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:08,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:09,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:09,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:09,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:09,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:09,LOGOUT,HBA1764,LIMITED,0
3/1/2020 17:15,LOGIN,HBA2210,AUTHORIZED,875115
3/1/2020 17:20,TIMEOUT,HBA1818,LIMITED,876009
3/1/2020 17:31,LOGIN,HBA1932,AUTHORIZED,876010
3/1/2020 17:37,TIMEOUT,HBA2023,AUTHORIZED,875218
3/1/2020 17:39,TIMEOUT,HBA1764,LIMITED,875113
3/1/2020 17:40,TIMEOUT,HBA1764,LIMITED,0
3/1/2020 17:48,TIMEOUT,HBA2210,AUTHORIZED,875115
3/1/2020 18:00,SYSLOGOUT,HBA1938,LIMITED,875409
3/1/2020 18:00,SYSLOGOUT,HBA1850,LIMITED,875214
3/1/2020 18:01,SYSLOGOUT,HBA1932,AUTHORIZED,876008
3/1/2020 18:05,TIMEOUT,HBA1932,AUTHORIZED,876010
3/1/2020 18:06,LOGIN,HBA1819,AUTHORIZED,876011
3/1/2020 18:23,SYSLOGOUT,HBA2023,AUTHORIZED,875215
3/1/2020 18:23,LOGIN,HBA1789,LIMITED,876108
3/1/2020 18:24,LOGIN,HBA2254,EXPRESS,875017
3/1/2020 18:25,LOGIN,HBA2152,LIMITED,876012
3/1/2020 18:25,TIMEOUT,HBA1819,AUTHORIZED,876011
3/1/2020 18:48,LOGIN,HBA2151,AUTHORIZED,876109
3/1/2020 18:55,TIMEOUT,HBA1789,LIMITED,876108
3/1/2020 18:56,TIMEOUT,HBA2254,EXPRESS,875017
3/1/2020 19:14,LOGIN,HBA1854,LIMITED,875018
3/1/2020 19:14,LOGIN,HBA1869,LIMITED,875219
3/1/2020 19:20,TIMEOUT,HBA2151,AUTHORIZED,876109
3/1/2020 19:20,TIMEOUT,HBA2152,LIMITED,876012
3/1/2020 19:21,LOGOUT,HBA1854,LIMITED,875018
3/1/2020 19:30,LOGIN,HBA2301,EXPRESS,876110
3/1/2020 19:44,LOGIN,HBA1844,LIMITED,875311
3/1/2020 19:45,LOGIN,HBA2254,EXPRESS,875019
3/1/2020 19:45,LOGOUT,HBA2254,EXPRESS,875019
3/1/2020 19:45,LOGIN,HBA2254,EXPRESS,875020
3/1/2020 19:54,TIMEOUT,HBA1869,LIMITED,875219
3/1/2020 19:54,LOGIN,HBA1824,AUTHORIZED,876013
3/1/2020 20:00,SYSLOGOUT,HBA1758,AUTHORIZED,875015
3/1/2020 20:01,SYSLOGOUT,HBA2313,LIMITED,876106
3/1/2020 20:03,TIMEOUT,HBA2301,EXPRESS,876110
3/1/2020 20:16,TIMEOUT,HBA2254,EXPRESS,875020
3/1/2020 20:26,TIMEOUT,HBA1844,LIMITED,875311
3/1/2020 20:54,LOGIN,HBA1888,AUTHORIZED,875312
3/1/2020 20:58,LOGIN,HBA2153,LIMITED,875313
3/1/2020 21:00,SYSLOGOUT,HBA2023,AUTHORIZED,875218
3/1/2020 21:00,SYSLOGOUT,HBA2254,EXPRESS,875017
3/1/2020 21:00,SYSLOGOUT,HBA1919,AUTHORIZED,875310
3/1/2020 21:08,LOGIN,HBA2111,LIMITED,875412
3/1/2020 21:22,LOGIN,HBA1899,LIMITED,875911
3/1/2020 21:23,LOGOUT,HBA1899,LIMITED,875911
3/1/2020 21:24,TIMEOUT,HBA1888,AUTHORIZED,875312
3/1/2020 21:24,LOGIN,HBA2338,LIMITED,876111
3/1/2020 21:25,TIMEOUT,HBA1824,AUTHORIZED,876013
3/1/2020 21:25,LOGIN,HBA1764,LIMITED,875116
3/1/2020 21:27,LOGIN,HBA2303,LIMITED,875021
3/1/2020 21:39,TIMEOUT,HBA2153,LIMITED,875313
3/1/2020 21:45,TIMEOUT,HBA2111,LIMITED,875412
